product_id,product_name,aisle_id,department_id
90001,ETUDE HOUSE Face Color Shading - 02,1,1
90002,L'Oreal Paris Glow Mon Amour Highlighting Drops - 02 Loving Peach,2,2
90003,The Body Shop All-In-One Face Base - 045,3,1
90004,True Elements Sunflower Raw Seeds,4,3
90005,Nykaa Wonderpuff Cushion Liquid Lipstick - Werk It,5,1
90006,HealthVit Activated Charcoal Powder,6,4
90007,NIVEA Body Lotion Oil in Lotion Rose & Argan Oil - For Dry Skin,7,2
90008,Lotus Herbals Whiteglow Activated Charcoal Brightening Face Wash,8,4
90009,Floret Pack of 2 Full-Coverage Maternity Bras - Multi-Color (30B),9,5
90010,Inner Sense Organic Antimicrobial Soft Nursing Bra Pack of 3 - Multi-Color (32B),9,5
90011,Smashbox Color Correcting Stick - Look Less Tired - Dark,10,1
90012,NIVEA Creme - All Season Multi Purpose Cream,11,6
90013,Vaseline Ice Cool Hydration Lotion,12,7
90014,Lime Crime Velvetines Liquid Matte Lipstick - Red Velvet,13,1
90015,Maybelline New York Alia Loves New York Baby Lips SPF 20 - Manhattan Mauve,14,1
90016,Bobbi Brown Crushed Liquid Lip Color - Big Apple,15,-1
90017,Cadiveu Brasil Cacau Brazilian Thermal Reconstruction,16,8
90018,Street Wear Foundation - Deep,3,1
90019,Versace Eros Pour Femme Eau De Toilette,17,9
90020,MyGlamm Twin Faced Concealer - Toffee Dusky,10,1
90021,L'Occitane Pivoine Flora Hand Cream,18,6
90022,Red Hunt Fairness Face Wash For Men,19,-1
90023,Himalaya Gentle Baby Wipes 12's,20,5
90024,As-It-Is Nutrition Pure Creatine Monohydrate,21,3
90025,Beeone Diamond Facial Kit 312gm,22,7
90026,Garnier Ultra Blends Soy Milk & Almonds Conditioner,23,6
90027,Burberry My Burberry Eau De Toilette,24,11
90028,Biotique Natural Makeup Starstruck Matte Blush - Coral Cache,25,1
90029,O3+ Purifying Sulfur Cooling Facial Mask,26,7
90030,Gucci Guilty Cologne Eau De Toilette For Him,27,9
90031,Jiva Ayurveda Jiva Hair Conditioner,28,4
90032,NIVEA Soft - Light Moisturising Cream,29,7
90033,Provoc Contour Correct Conceal Palette - Profile 1,30,1
90034,Allin Exporters Rosehip Carrier Oil,31,4
90035,Stars Cosmetics Foundation Palette Refills - FS27,32,1
90036,Nykaa Pout Perfect Lip & Cheek Velvet Matte Crayon Lipstick - Brick Me Red 04,25,1
90037,DIOR 5 Couleurs Color Games Collection Limited Edition - 897 Sweet Escape,33,9
90038,HealthVit Mass Gainer Xtra (Chocolate Flavour),34,3
90039,PAC Take Cover Concealer - 05 Caramel Touch,35,1
90040,Kiko Milano Flawless Fusion Bronzer Powder - 05 Biscuit,36,1
90041,Cinthol Shave + Face Wash - Cool Wave,37,-1
90042,M.A.C Eye Shadow X 9 - Amber Times Nine,33,9
90043,Allin Exporters Natural & Undiluted Patchouli Oil,31,4
90044,LYN Lacquers - Stripped,38,1
90045,Disney Frozen Nail Polish - Golden Gloss,39,5
90046,Zenith Nutrition Curcumin With Piperine Capsules,40,13
90047,DIOR Diorshow High Intensity Khol Pencil - 099 Black khol,41,1
90048,VLCC Insta Fair & Glow Mulberry & Licorice Fairness Cream with SPF 15,40,13
90049,Astaberry Skin Whitening Face Wash - With Mulberry & Liquorice Extracts,31,4
90050,Huda Beauty Tantour - Rich,42,9
90051,Colorbar All-Matte Eyeliner - Matte Brown 002,43,1
90052,NIVEA Body Lotion Shea Smooth Milk - For Dry Skin,12,7
90053,BBLUNT Mini Salon Secret High Shine Creme Hair Colour - Chocolate Dark Brown 3,44,8
90054,WOW Skin Science Coconut Milk Hair Conditioner,45,8
90055,Maybelline New York Master Camo Color Correcting Palette - Light,30,1
90056,Deborah BB Cream 5 In 1 Foundation SPF 20 - 01,10,1
90057,AMAZON KERATIN Green Tea Clarifying Shampoo,46,6
90058,Huda Beauty #FauxFilter Full Coverage Matte Foundation - Dulce De Leche 350G,3,1
90059,Aveda Botanical Repair Strengthening Shampoo,47,4
90060,Himalaya Natural Glow Kesar Face Wash,37,-1
90061,True Elements Roasted Pumpkin Seeds,4,3
90062,Charlotte Tilbury Hot Lips 2.0 - Patsy Red,48,1
90063,PRADA Luna Rossa Carbon Eau De Parfum,17,9
90064,Biotique Bio Bhringraj Therapeutic Oil For Falling Hair,49,4
90065,Garnier Skin Naturals Sakura White Face Serum Sheet Mask,50,7
90066,Disguise Cosmetics Feather-Light Matte Liquid Lip Cream - 36 Curious Wine,51,4
90067,Ponds Cold Cream Honey & Milk Protein Face Cream,29,7
90068,Aveda Dry Remedy Moisturizing Conditioner,52,8
90069,"MyGlamm 5 in 1: Primer, Concealer, Foundation With SPF30 & Correctors For Light Skin",10,1
90070,MESMARA Extra Virgin Olive Oil,53,4
90071,Swiss Beauty Professional Blusher - 08 Sunshine,25,1
90072,LOreal Paris Colour Protect Conditioner 30 Wash UV Filter,2,2
90073,Lotus Make-Up Clash Of Colors Ecostay Butter Matte Paint Pot - Pink Craze,51,4
90074,Rejuvenating UBTAN Cold Pressed Jojoba Oil,54,4
90075,Bio Oil Dry Skin Gel,26,7
90076,Montblanc Emblem Eau De Toilette,40,13
90077,Miss Claire Natural Mineral Compact Powder - 21 Natural Beige,55,1
90078,VLCC Bio Elixir 10 in 1 Skin Enhance Oil,40,13
90079,Nature's Essence Active Charcoal Face Wash,56,6
90080,Himalaya Herbals Protein Hair Cream,57,8
90081,Benefit Cosmetics Brow Zings Eyebrow Shaping Kit - 06 Deep,40,13
90082,M.A.C Matte Lipstick - Diva,40,13
90083,Nyassa Rosemary Shampoo,40,13
90084,Nykaa Naturals Haldi & Chandan Bathing Soap,58,4
90085,Wishcare 100% Pure Lemongrass Essential Oil - Cymbopogon Flexuosus,49,4
90086,Too Faced Born This Way Setting Powder - Translucent Medium,59,1
90087,Charlotte Tilbury Matte Revolution - Festival Magic,60,9
90088,Forest Essentials Silkening Shower Wash - Iced Pomegranate With Fresh Kerala Lime,61,7
90089,Estee Lauder Perfectly Clean Multi Action Foam Cleanser / Purifying Mask Mini,61,7
90090,Khadi Natural Ayurvedic Herbal Olive Hair and Body Oil,40,13
90091,L'Oreal Paris La Petite Eyeshadow Palette - Feminist,62,1
90092,Onelife 100% Whey Protein Isolate Chocolate,40,13
90093,Merlion Naturals Organic Shikakai Powder,47,4
90094,K-Veda Eyeyurvedic Kohl Liner Trends - Black Shimmer,63,4
90095,Guerlain Rose Aux Joues - 03 Peach Party,25,1
90096,DIOR Miss Dior Blooming Bouquet Eau De Toilette,40,13
90097,Aroma Magic Sunblock Lotion SPF++30 UVA/UVB,64,4
90098,Tommy Hilfiger Tommy Now Eau De Toilette,65,-1
90099,Tea Treasure Sencha Green Tea 18 Pyramid Tea Bags,66,3
90100,Nykaa Wanderlust Deodorant Spray - French Lavender,67,11
90101,Guerlain La Petite Robe Noire Legere Eau De Parfum,17,9
90102,Baby Dove Rich Moisture Baby Massage Oil,68,7
90103,Berina Professional Hair Straightener (BC-118),69,12
90104,Head & Shoulders Supreme Scalp Rejuvenation Shampoo,46,6
90105,L'Oreal Paris Fall Resist 3x Anti-Dandruff Shampoo,40,13
90106,Bobbi Brown Corrector - Porcelain Peach,35,1
90107,Kamasutra Long Last Condoms - 3pcs,70,3
90108,AS-IT-IS Nutrition Brown Rice Protein Isolate,4,3
90109,Olivia Strawberry & Apple Facial Kit,71,7
90110,Lotus Herbals Safe Sun Whitening+ Long Last Sunblock SPF 40 PA+++,31,4
90111,Inner Sense Organic Cotton Antimicrobial Nursing Bra Pack of 3 - Multi-Color (34B),9,5
90112,VLCC Total Nourishment Fruit Cream,72,2
90113,Biotique Bio Kelp Protein Shampoo For Falling Hair,47,4
90114,Royalry Essentials Silver Rose Skin Hydrator Face Oil,40,13
90115,Allin Exporters Jojoba Oil,53,4
90116,M.A.C Retro Matte Lipstick - Flat Out Fabulous,48,1
90117,Makeup Revolution Highlight Reloaded - Raise the Bar,73,1
90118,The Body Care Amla Shikakai Shampoo,46,6
90119,Miss Claire Gradient Baked Blusher - 1,25,1
90120,Neemli Naturals Tea Tree & Salicylic Face Wash,19,-1
90121,Biotique Bio Gotu Kola Smooth Skin Lotion,74,2
90122,Fabindia Tea Tree Face Wash For Oily Skin,75,4
90123,NIVEA Body Lotion Nourishing Body Milk - For Very Dry Skin,76,6
90124,Givenchy Gentlemen Only Eau De Toilette Spray,65,-1
90125,Allin Exporters Cedarwood Pure Oil,68,7
90126,Skin Secrets Orange Massage Cream,40,13
90127,IsaDora Colormatic Eye Pen - 22 Dark Brown,43,1
90128,Biotique Bio Papaya Revitalizing Tan removal Scrub,77,7
90129,Niconi Lemon Cream Face Wash,78,7
90130,Smashbox The Original Photo Finish Foundation Primer - Smooth & Blur - Travel Size,42,9
90131,Himalaya Baby Hair Oil,79,2
90132,Faces Canada Glam On Perfect Blush - Apricot 06,25,1
90133,L'Oreal Paris Infallible Pro Matte Liquid Lipstick - 362 Plum Bum,13,1
90134,First Water Hydrating Moonlight Body Mist,80,11
90135,Schwarzkopf Gliss Hair repair with Liquid Keratin Serum Ultimate Repair Conditioner,16,8
90136,Inner Sense Organic Antimicrobial Sleeping/Feeding Bra Pack Of 2 - Multi-Color (32B),9,5
90137,Charlotte Tilbury Luxury Palette - The Sophisticate,33,9
90138,Clinique Moisture Surge 72-Hour Auto-Replenishing Hydrator Mini,61,7
90139,Goodcare Fresh Splash Face Wash,56,6
90140,Bobbi Brown Natural Brow Shaper & Hair Touch Up - Brunette,40,13
90141,Makeup Revolution HD Pro Ultra Powder Contour Palette - Medium Dark,73,1
90142,Davidoff Cool Water Man Intense Eau De Parfum,40,13
90143,L'Oreal Paris Pure Reds Color Riche Collection Star Lipsticks - Pure Rouge,48,1
90144,Nykaa Mirror Shine Trousseau Box - Rose Gold,81,1
90145,Nykaa Wanderlust Handwash - Japanese Cherry Blossom,82,2
90146,Allin Exporters Garlic Oil,83,4
90147,Kay Beauty Colour Corrector Stick - Lavender,35,1
90148,Vaadi Herbals Amla Shikakai Shampoo-Hairfall & Damage Control With Reetha Extract,47,4
90149,Paese Cosmetics Automatic Eye Pencil - 01 Deep Black,43,1
90150,Dove Hair Fall Rescue Shampoo,40,13
90151,The Body Care Protein Conditioner,23,6
90152,Milani Rose Powder Blush - 08 Tea Rose,25,1
90153,Allin Exporters Bergamot Essential Oil,68,7
90154,Salvatore Ferragamo F Pour Homme Eau De Toilette,40,13
90155,MESMARA Rosehip Seed Carrier Oil,40,13
90156,Wet n Wild Color Icon Loose Pigment - Carol,73,1
90157,MuscleBlaze BCAA 6000 Amino Acid Powder - Tangy Orange,40,13
90158,Nykaa SKINgenius Conceal & Correct Palette - Light 01,84,1
90159,Inner Sense Organic Cotton Antimicrobial Nursing Bra Pack of 3 - Multi-Color (32B),9,5
90160,Kiko Milano Konscious Vegan Matte Blush - 03 Imagine,25,1
90161,Nykaa Naturals Tea Tree & Neem Purifying Face Wash for Acne,85,4
90162,Berina Hair Treatment Spa For Dry & Damaged Hairs,86,8
90163,NIVEA Face Wash - Purifying,40,13
90164,Rahul Phate's Desaline Shampoo,46,6
90165,Forest Essentials Soundarya Ultra Rich Body Milk With 24 Karat Gold & SPF 25,12,7
90166,Greenberry Organics Organic Castor Oil For Hair Face & Body,87,4
90167,Lotus Make-Up Pure Colors Matte Lip Color - 593 Melon Flirt,48,1
90168,Allin Exporters Cold Pressed Argan Oil,40,13
90169,Clinique Clarifying Lotion 3 - Combination Oily,88,9
90170,Olivia Herb Bleach,22,7
90171,Paese Cosmetics Sun Of Egypt Bronzing Illuminating Powder - 1 Sunrise,36,1
90172,LOreal Paris Fall Resist 3x Shampoo,89,8
90173,Just Herbs Silksplash Neem-Orange Rehydrant Face Wash,40,13
90174,Vedic Line Foot Massage Cream With Bees Wax & Neem Oil,90,4
90175,Head & Shoulders Silky Black Anti Dandruff Shampoo,89,8
90176,Synaa Hair Coat Hair With Argan Oil,91,8
90177,Inner Sense Organic Antimicrobial Soft Feeding Bra with Removable Pads Pack of 2 - Pink (32B),40,13
90178,Estee Lauder Double Wear Stay-in-Place Makeup With SPF 10 - Alabaster,15,-1
90179,Just Herbs Aloe Vera Facial Massage Gel,11,6
90180,Faces Canada Hi Shine Nail Enamel - Minty Mintness 184,38,1
90181,Dermalogica Mini Daily Superfoliant,26,7
90182,Bobbi Brown Illuminating Bronzing Powder - Antigua,36,1
90183,Garnier Men Power White Moisturiser,92,-1
90184,Morph Maternity Pack Of 3 Leakproof Nursing Bras - White (32B),9,5
90185,Big Muscles Frotein Refreshing Hydrolysed Whey Protein Isolate - Pineapple,93,3
90186,Swiss Beauty Intense Gel Kajal Eyeliner - Bronze,43,1
90187,Glamglow Glowsetter Makeup Setting Spray,94,7
90188,Inner Sense Organic Antimicrobial Sleeping/Feeding Bra Pack of 3 - Multi-Color (32B),9,5
90189,Indus Valley Men Organic Beard & Hair Color Medium Brown,40,13
90190,Jovees Sandalwood Sun Cover Natural Protection - SPF 30,95,4
90191,TONYMOLY I'M Red Wine Mask Sheet,96,7
90192,Axe Signature Denim After Shave Lotion,97,-1
90193,Givenchy Rouge Interdit Rouge - 10 Boyish Rose,48,1
90194,Skin Secrets Lemon Facial Gel,40,13
90195,Ellement Co. Soother Rejuvenate! Pocket Mist,98,6
90196,Himalaya Herbals Soothing Body Lotion,79,2
90197,Aroma Treasures Skin Pure Cleanser,40,13
90198,Guerlain Parure Gold Precious Light Concealer - 02 Precious Light,35,1
90199,Blue Nectar Shubhr Massage Oil for Stretch Marks Scars,99,4
90200,CiatÃƒÂ© London Gelology Paint Pots - Loop the Loop,100,9
90201,Radhikas Zestful Ginger Chai Leaf,40,13
90202,PRADA La Femme Intense Eau De Parfum,17,9
90203,Smashbox Spotlight Palette - Pearl,73,1
90204,Salvatore Ferragamo F Pour Homme Black Eau De Toilette,65,-1
90205,VI-JOHN Amla Hair Oil,101,8
90206,Bobbi Brown Long-Wear Cream Shadow Stick - Bark,40,13
90207,Montblanc Explorer Eau De Parfum,102,11
90208,Natural Vibes Ayurvedic Tea Tree Shampoo,46,6
90209,The Kaftan Company Multicolor Printed Maternity Nigthdress (S),40,13
90210,Smashbox L.A. Lights Blendable Lip & Cheek Color - Beverly Hills Blush,25,1
90211,Zenith Nutrition Astaxanthin 4 Mg Capsules,40,13
90212,Aveda Cherry Almond Softening Shampoo,47,4
90213,Vaseline Intensive Care Cocoa Glow Body Lotion,61,7
90214,Nykaa SKINgenius Skin Perfecting & Hydrating Matte Powder Compact - Toasty Tan 05,73,1
90215,GlamGals Professional Blush With Brush - Frankly Scarlet,25,1
90216,Estee Lauder Advanced Night Repair Synchronized Multi-Recovery Complex,40,13
90217,Vaadi Herbals Skin Whitening Saffron Face Wash With Sandal Extract - 60ml,103,4
90218,Faces Canada Ultime Pro Matte Lip Crayon With Free Sharpener - Peach Me 08,48,1
90219,Nykaa Naturals Eucalyptus Essential Oil,40,13
90220,Votre White Essence Brightening Massage Creme,11,6
90221,Himalaya Stretch Mark Cream For Moms,12,7
90222,Kay Beauty Nail Nourish Nail Enamel Polish - Wine Berry 30,38,1
90223,HealthVit 100% Ultra Premium Whey Protein (Cafe Mocha Flavour),40,13
90224,Davidoff Run Wild Woman Eau De Parfum,40,13
90225,NIVEA Creme Care Body Wash,12,7
90226,Milani Color Statement Moisture Matte Lipstick - 69 Matte Beauty,48,1
90227,GK Hair Color Shield Shampoo,16,8
90228,Dermacol Iconic Lips 2-In-1 Lipstick & Lipliner - 1,48,1
90229,LOOkX Eyeshadow - Nr. 180 Plum Pearl,32,1
90230,Inglot Lipstick Matte - 446,48,1
90231,NYX Professional Makeup Total Control Mesh Cushion Foundation - Honey,3,1
90232,Nature's Essence Organic Oriental Orange 'N' Lime D-Tan Face Wash,104,4
90233,L.A. Girl Pro Contour Cream - Deep,73,1
90234,MuscleBlaze MB Burner Capsules,105,3
90235,Dabur Vatika Anti Dandruff Shampoo,106,-1
90236,Estee Lauder Pure Color Envy Sculpting EyeShadow 5 Color Palette - Currant Desire,40,13
90237,Ponds Super Light Gel Oil Free Moisturiser With Hyaluronic Acid + Vitamin E,61,7
90238,Just Herbs Kumuda Sacred Lotus Rejuvenating Body Wash,107,4
90239,Garnier Body Cocoon Intense Moisturising Lotion,29,7
90240,Stars Cosmetics Concealer - Yellow,10,1
90241,Kay Beauty Matte Lipstick - Award Night,48,1
90242,Chambor Silver Shadow Pressed Powder - 103 Sable RR3,55,1
90243,YLG Spectacolor Creme Nail Paint - Petals And Blossoms,38,1
90244,Makeup Revolution Conceal And Define Concealer - C12,35,1
90245,Gillette Sensitive Shave Foam - 418gm 33% Extra Free,40,13
90246,Incolor Exposed Better Skin Concealer + Corrector - 5,10,1
90247,Royalry Essentials Rose Gold Oil,40,13
90248,Lakme 9 to 5 Naturale CC Cream SPF 30 PA++ - Bronze,108,2
90249,Chambor Silver Shadow Compact Powder - Sable RR3,55,1
90250,Olena Evolve Performance Plant Protein Powder Wild Berry Flavour,109,3
90251,Lakme 9 to 5 Naturale Matte Lipstick - Rose Valet,48,1
90252,Shiseido Essentialist Eye Palette - 02 Paltanium Street Metals,40,13
90253,Swiss Beauty Blusher & Highlighter - Shade 05,73,1
90254,Lime Crime Velvetines Liquid Metallic Lipstick - Eclipse,13,1
90255,Smashbox Color Correcting Stick - Look Less Tired - Light (Free Sharpener Included),10,1
90256,"Allin Exporters 100% Pure, Natural & Undiluted Musk Rose Oil",107,4
90257,Colorbar Diva Lipstick - 002 RED SHE SAID,48,1
90258,Just Herbs Skin Tint - 4 Sand,85,4
90259,L'Occitane Terre De Lumiere Beautifying Body Milk,76,6
90260,Lakme 9 To 5 Pure Rouge Blusher - Coral Punch,25,1
90261,Lakme 9 to 5 Weightless Matte Mousse Lip & Cheek Color - Pink Plush,108,2
90262,Everyuth Naturals Moisturizing Fruit Face Wash With Apple Extracts,56,6
90263,Nykaa Wanderlust Shower Gel - Sicilian Sweet Pea,82,2
90264,Lotus Make-Up XXV Hydrating Serum Intense Lip Color - Peony,40,13
90265,Bobbi Brown Soothing Cleansing Oil,88,9
90266,PAC Pure Matte Eyeshadow - 46 Orange Candy,62,1
90267,Palladio I'M Blushing 2-In-1 Cheek & Lip Tint - Precious,5,1
90268,Nykaa InstaBlur Color Corrector Stick - Yellow,35,1
90269,Nicka K Matte Lip Color - Liatris,13,1
90270,Colorbar Mattillusion Blush - 003 Flushed Satin,25,1
90271,MuscleBlaze Whey Protein - Vanilla,110,3
90272,Nature's Tattva Raw & Unrefined Indian Mango Butter,76,6
90273,Forest Essentials Ultra-Rich Body Lotion - Mashobra Honey & Vanilla (Travel Mini),40,13
90274,NYX Professional Makeup Born To Glow Liquid Illuminator - Sunbeam,73,1
90275,Morph Maternity Pack Of 3 Sleep Nursing Bras - Multi-Color (S),40,13
90276,House Of Makeup Double Duty Kohl + Liner - Silverrighteous,41,1
90277,Yves Rocher Pur Bleuet Express Eye Makeup Remover,111,1
90278,The Kaftan Company Peach Floral Maternity Kaftan Dress with Nursing Slit (S),112,5
90279,The Body Care Herbal Shampoo With Conditioner,47,4
90280,Kay Beauty Matte Lipstick - On Screen,48,1
90281,Burberry Brit Rhythm Men Eau De Toilette,17,9
